;;;;;;;;;;;;;;;;;;;;;
Base articles - Vente produits;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Classification article;;;Article;;;;;;Visible dans les outils;;Tarification;;;;;;Unité de mesure article;;;;
Catalogue;Famille;Sous-famille;Code;"Libellé court
(JDE, BL)";"Libellé commercial
(Devis, rapport, facture, OCW, UNITEC)";Statut article;Statut Stock;Article soumis à restriction client;OCW;UNITEC;Famille;Sous-famille;Code sous-Famille;"Tarif de référence
(pour unité de mesure principale)";Code de regroupement;Libellé code regroupement;Unité de mesure principale;Unité de mesure d'appro;Unité de mesure par défaut en nomenclature de pièces détachées;Conversion unité de mesure appro;Conversion unité de mesure nomenclature
CATEGORIE_ARTICLE;FAMILLE_ARTICLE;SOUS_FAMILLE_ARTICLE;CODE;LIBELLE;LIBELLE_COMMERCIAL;STATUT_ARTICLE;STATUT_STOCK;Art_sous_restriction;OCW;UNITEC;LIB_FAMILLE_TARIFAIRE;LIB_SOUS_FAMILLE_TARIFAIRE;SOUS_FAMILLE_TARIFAIRE;TARIF_REF_UM_PRIN;CODE_REGROUPEMENT;LIBELLE_REGROUPEMENT;UM_PRINCIPAL;UM_APPRO;UM_DEFAUT_BOM;CONV_UM_APPRO;CONV_UM_BOM
Catalogue produits;Détection incendie;Satellite;428630000026;MD8V V10 EQUIPE FILTRE; ;Article en fin de vie;Article stocké Pierrelaye; ;Oui; ;Vente Détection/Extinction;Cartes;VV7;   1288,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Satellite;428P760000029;SATI 4 VOIES IN; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;   1263,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Satellite;428P760000030;SATI 8 VOIES IN; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;   1506,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Satellite;428P760000031;SATC 4 VOIES IN; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;    962,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Satellite;428P760000032;SATC 8 VOIES IN; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;   1093,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Satellite;428P760000033;SATC 8 RELAIS IN; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;   1304,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Satellite;428P760000034;CARTE 4 VOIES CAN; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;   1050,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Satellite;428P760000035;CARTE 8 VOIES CAN; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;   1314,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Satellite;428P760000130;CARTE SATI 8 VOIES IN RACK; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;   2559,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Satellite;428P760000135;CARTE 8 VOIES CAN RACK; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;   3695,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Serveur pour UAE;428680000012;VISION COM + VIEWER; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Cartes;VV7;  18274,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Serveur pour UAE;428680000017;SERVEUR OPC LON ACTIVA; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Cartes;VV7;   3443,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Serveur pour UAE;428680000018;SERVEUR OPC TSIA; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Cartes;VV7;    760,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Serveur pour UAE;428680000020;SERVEUR OPC CONCENTRATEUR; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Cartes;VV7;    760,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Serveur pour UAE;428680000021;SERVEUR OPC RESONANCE; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Cartes;VV7;   3455,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Serveur pour UAE;428680000035;SERVEUR OPC RESONANCE GTC; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Cartes;VV7;   3455,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Système de sonorisation;428630140200;ECSAV SEV-SA-EN; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;  19676,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Système de sonorisation;428640200011;MULTIVOC COFFRET; ;Article ouvert;Article stocké Pierrelaye; ;Oui; ;Vente Détection/Extinction;Cartes;VV7;   3607,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Système de sonorisation;428640200057;COFFRET ECSAV CSNF08; ;Article ouvert;Article stocké Pierrelaye; ;Oui; ;Vente Détection/Extinction;Cartes;VV7;   6313,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Système de sonorisation;428640200058;RACK ECSAV RSNF08 1 VOIE; ;Article ouvert;Article stocké Pierrelaye; ;Oui; ;Vente Détection/Extinction;Cartes;VV7;   8016,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Système de sonorisation;428640200059;RACK ECSAV RSNF08 2 VOIES; ;Article ouvert;Article stocké Pierrelaye; ;Oui; ;Vente Détection/Extinction;Cartes;VV7;  11022,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Système de sonorisation;428640200060;RACK ECSAV RSNF08 3 VOIES; ;Article ouvert;Article stocké Pierrelaye; ;Oui; ;Vente Détection/Extinction;Cartes;VV7;  14028,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Système de sonorisation;428640200061;RACK ECSAV RSNF08 4 VOIES; ;Article ouvert;Article stocké Pierrelaye; ;Oui; ;Vente Détection/Extinction;Cartes;VV7;  17034,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Système de sonorisation;428640200062;RACK ECSAV RSNF08 5 VOIES; ;Article ouvert;Article stocké Pierrelaye; ;Oui; ;Vente Détection/Extinction;Cartes;VV7;  19038,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Système de sonorisation;428640200063;PUPITRE MICROPHONE SPAM100; ;Article ouvert;Article stocké Pierrelaye; ;Oui; ;Vente Détection/Extinction;Cartes;VV7;   4509,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Transmetteur;428005011010;TRANSMETTEUR VOCAL SIMP'VOX; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;    743,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Transmetteur;428005200030;ATS BAT 12V-18 AH; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Batteries, piles;VV5;    277,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Transmetteur;428005200070;ATS1500A IP-MM; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;   2069,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Transmetteur;428005200075;ATS7700 MOD RTC; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;    425,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Transmetteur;428005200076;ATS1500A IP-MM-HK; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;   2365,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Transmetteur;428005200078;ATS7341;Module GSM Aritech 4G sans SIM ATS7341;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;    957,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Transmetteur;428005200079;ATS7341-SIM;Module GSM Aritech 4G avec SIM Ultrasync ATS7341;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;    957,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Transmetteur;428005200080;ANTENNE-MULTIBANDE;Antenne multibande haut gain pour module GSM ATS7341/7341-SI;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;    318,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Transmetteur;428670000011;TRANSMETTEUR GPRS BOITIER IP66; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;   3038,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000001R;VISION COM RECONDITIONNE; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Cartes;VV7;   3112,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000013;VISION COM+ SERVEUR; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Cartes;VV7;  82269,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000037;VISION COM+ SERVEUR 5000 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Cartes;VV7;  71157,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000038;VISION COM+ SERVEUR UPGRADE; ;Article ouvert;Article stocké Pierrelaye; ;Oui; ;Vente Détection/Extinction;Cartes;VV7;   8465,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000050;OPTIMA VISION UAE 150 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Supervisions et accessoires;VV8;   7324,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000051;OPTIMA VISION UAE 300 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Supervisions et accessoires;VV8;  10688,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000052;OPTIMA VISION UAE 500 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Supervisions et accessoires;VV8;  14179,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000053;OPTIMA VISION UAE 1000 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Supervisions et accessoires;VV8;  19996,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000054;OPTIMA VISION UAE 2500 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Supervisions et accessoires;VV8;  28723,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000055;OPTIMA VISION UAE 5000 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Supervisions et accessoires;VV8;  34956,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000056;OPTIMA VISION UAE 10000 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Supervisions et accessoires;VV8;  52411,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000057;OPTIMA VISION TECH 150 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;   7280,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000058;OPTIMA VISION TECH 300 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;  10645,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000059;OPTIMA VISION TECH 500 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;  14135,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000060;OPTIMA VISION TECH 1000 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;  19952,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000061;OPTIMA VISION TECH 2500 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;  28679,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000062;OPTIMA VISION TECH 5000 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;  34912,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000063;OPTIMA VISION TECH 10000 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;  52367,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000064;OPTION OPTIMA VISION 150 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;   4301,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000065;OPTION OPTIMA VISION 300 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;   6875,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000066;OPTION OPTIMA VISION 500 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;   9912,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000067;OPTION OPTIMA VISION 1000 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;  15729,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000068;OPTION OPTIMA VISION 2500 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;  24457,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000069;OPTION OPTIMA VISION 5000 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;  30689,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000070;OPTION OPTIMA VISION 10000 PTS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;  48140,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000071;OPTIMA VISION VIEWER (x1); ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;   3179,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000072;OPTIMA VISION VIEWER (x5); ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;   8921,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000073;OPTIMA VISION PROTOCOLE; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;   3095,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000074;OPTIMA VISION MAIN COURANTE; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;   8921,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000075;OPTIMA VISION BACKUP; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;  12348,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000076;OPTION SERVEUR DE MAIL OU SMS; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;   5708,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000077;OPTION ESPA 4.4.4; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui;Oui;Vente Détection/Extinction;Supervisions et accessoires;VV8;   2669,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000090;MAJ V COM+ 5000 SERV V7.X; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Supervisions et accessoires;VV8; ;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000091;MAJ V COM+ 5000 SERV V8.X; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Supervisions et accessoires;VV8; ;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000092;MAJ V COM+ 35000 SERV V5.X; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Supervisions et accessoires;VV8; ;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000093;MAJ V COM+ 35000 SERV V6X; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Supervisions et accessoires;VV8; ;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000094;MAJ V COM+ 35000 SERV V7X; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Supervisions et accessoires;VV8; ;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000095;MAJ V COM+ 35000 SERV V8X; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Supervisions et accessoires;VV8; ;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000096;MAJ V COM+ Viewer V6X; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Supervisions et accessoires;VV8; ;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000097;MAJ V COM+ Viewer V7X; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Supervisions et accessoires;VV8; ;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000098;MAJ V COM+ Viewer V8X; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Supervisions et accessoires;VV8; ;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;428680000099;MAJ V COM+ ILLIM SERV PRO V6X; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Supervisions et accessoires;VV8; ;; ;Unité;Unité;Unité; ; 
Catalogue produits;Détection incendie;Unité d'aide à l'exploitation;4287760004;LICENCE CIMPLICITY HMI SERVER; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Cartes;VV7; ;; ;Unité;Unité;Unité; ; 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P0M380;CABLE ELEC BAES 5G1,5 10M; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés Blocs;VP6;    163,80;; ;Unité;Unité;Unité; ; 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P0M381;CABLE ELEC BAES 5G1,5 20M; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés Blocs;VP6;    286,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P0M382;CABLE ELEC BAES 5G1,5 50M; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés Blocs;VP6;    437,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P0M383;CABLE ELEC BAES 5G1,5 100M; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés Blocs;VP6;    874,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P0M384;CABLE ELEC CR1/ LSC 2G1,5 10M; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés Blocs;VP6;    136,50;; ;Unité;Unité;Unité; ; 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P0M385;CABLE ELEC CR1/ LSC 2G1,5 20M; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés Blocs;VP6;    195,30;; ;Unité;Unité;Unité; ; 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P0M386;CABLE ELEC CR1/ LSC 2G1,5 50M; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés Blocs;VP6;    373,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P0M387;CABLE ELEC CR1/ LSC 2G1,5 100M; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés Blocs;VP6;    612,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P0M388;BTE DERIV BAES PLEXO 80x80x45; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés Blocs;VP6;     19,54;; ;Unité;Unité;Unité; ; 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P0M389;BTE DERIV LSC Plexo 80x80x46; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés Blocs;VP6;     24,32;; ;Unité;Unité;Unité; ; 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P0M390;BORNE WAGO 3x4mm² LSC; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés Blocs;VP6;      2,91;; ;Unité;Sachet;Unité;1 Unité = .02 Sachet(s); 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P0M391;BORNE WAGO 5x4mm² BAES; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés Blocs;VP6;      4,65;; ;Unité;Sachet;Unité;1 Unité = .04 Sachet(s); 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P0M392;TABLEAU ELEC 160X128X74mm; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés Blocs;VP6;    117,10;; ;Unité;Unité;Unité; ; 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P0M393;DISJONCTEUR.2A TELECOM.BAES; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés Blocs;VP6;    147,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P0M394;OBTURATEUR 13 MODULES; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés Blocs;VP6;    117,10;; ;Unité;Unité;Unité; ; 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P12035;FINITION NOIRE BLOCTECH ONE;Cadre de finition noire laqué en métal pour BLOCTECH ONE;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés Blocs;VP6;    106,60;; ;Unité;Unité;Unité; ; 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P12036;FINITION INOX BLOCTECH ONE;Cadre de finitionl inox en métal pour BLOCTECH ONE;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés Blocs;VP6;    106,60;; ;Unité;Unité;Unité; ; 
Catalogue produits;Eclairage de sécurité;Accessoire BAES;P12144;CHARGEUR BAPI LEADER ATEX;Chargeur pour Projecteur BAPI ATEX 251A;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Bloc RIA;Blocs;VB1;    902,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Eclairage de sécurité;Accessoire source centrale;P0V674;Afficheur déporté SEVGUARD48;Afficheur déporté pour Selvguard 48V avec socle 30°;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Bloc RIA;Blocs;VB1;    719,00;; ;Unité;Unité;Unité; ; 
